pin,direction,use,pin_family,pin_index,is_position_bus,layers,shape_count,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,ll_bbox_x1,ll_bbox_y1,ll_bbox_x2,ll_bbox_y2,ll_center_x,ll_center_y,width,height,side,edge_distance
Cout[43],INOUT,SIGNAL,Cout,43,NO,MET3,1,1896.795,1659.395,1897.075,1659.675,1896.935,1659.5349999999999,1948.19,1725.2549999999999,1948.47,1725.5349999999999,1948.33,1725.3949999999998,0.2799999999999727,0.2799999999999727,TOP,0.005000000000109139
Din[0],INOUT,SIGNAL,Din,0,NO,MET3,1,34.335,-65.855,34.615,-65.575,34.475,-65.715,85.73,0.0049999999999954525,86.01,0.2849999999999966,85.87,0.14499999999999602,0.28000000000000114,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[1],INOUT,SIGNAL,Din,1,NO,MET3,1,77.635,-65.855,77.915,-65.575,77.775,-65.715,129.03,0.0049999999999954525,129.31,0.2849999999999966,129.17000000000002,0.14499999999999602,0.28000000000000114,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[2],INOUT,SIGNAL,Din,2,NO,MET3,1,120.935,-65.855,121.215,-65.575,121.075,-65.715,172.33,0.0049999999999954525,172.61,0.2849999999999966,172.47,0.14499999999999602,0.28000000000000114,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[3],INOUT,SIGNAL,Din,3,NO,MET3,1,164.235,-65.855,164.515,-65.575,164.375,-65.715,215.63000000000002,0.0049999999999954525,215.91,0.2849999999999966,215.77,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[4],INOUT,SIGNAL,Din,4,NO,MET3,1,207.535,-65.855,207.815,-65.575,207.675,-65.715,258.93,0.0049999999999954525,259.21,0.2849999999999966,259.07,0.14499999999999602,0.28000000000000114,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[5],INOUT,SIGNAL,Din,5,NO,MET3,1,250.835,-65.855,251.115,-65.575,250.97500000000002,-65.715,302.23,0.0049999999999954525,302.51,0.2849999999999966,302.37,0.14499999999999602,0.28000000000000114,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[6],INOUT,SIGNAL,Din,6,NO,MET3,1,294.135,-65.855,294.415,-65.575,294.275,-65.715,345.53,0.0049999999999954525,345.81,0.2849999999999966,345.66999999999996,0.14499999999999602,0.28000000000002956,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[7],INOUT,SIGNAL,Din,7,NO,MET3,1,337.435,-65.855,337.715,-65.575,337.575,-65.715,388.83,0.0049999999999954525,389.10999999999996,0.2849999999999966,388.96999999999997,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[8],INOUT,SIGNAL,Din,8,NO,MET3,1,380.735,-65.855,381.015,-65.575,380.875,-65.715,432.13,0.0049999999999954525,432.40999999999997,0.2849999999999966,432.27,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[9],INOUT,SIGNAL,Din,9,NO,MET3,1,424.035,-65.855,424.315,-65.575,424.175,-65.715,475.43,0.0049999999999954525,475.71,0.2849999999999966,475.57,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[10],INOUT,SIGNAL,Din,10,NO,MET3,1,467.335,-65.855,467.615,-65.575,467.475,-65.715,518.73,0.0049999999999954525,519.01,0.2849999999999966,518.87,0.14499999999999602,0.28000000000002956,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[11],INOUT,SIGNAL,Din,11,NO,MET3,1,510.635,-65.855,510.915,-65.575,510.775,-65.715,562.03,0.0049999999999954525,562.3100000000001,0.2849999999999966,562.17,0.14499999999999602,0.28000000000002956,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[12],INOUT,SIGNAL,Din,12,NO,MET3,1,553.935,-65.855,554.215,-65.575,554.075,-65.715,605.3299999999999,0.0049999999999954525,605.61,0.2849999999999966,605.47,0.14499999999999602,0.2800000000000864,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[13],INOUT,SIGNAL,Din,13,NO,MET3,1,597.235,-65.855,597.515,-65.575,597.375,-65.715,648.63,0.0049999999999954525,648.91,0.2849999999999966,648.77,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[14],INOUT,SIGNAL,Din,14,NO,MET3,1,640.535,-65.855,640.815,-65.575,640.675,-65.715,691.93,0.0049999999999954525,692.21,0.2849999999999966,692.0699999999999,0.14499999999999602,0.2800000000000864,0.28000000000000114,BOTTOM,0.0049999999999954525
Din[15],INOUT,SIGNAL,Din,15,NO,MET3,1,683.835,-65.855,684.115,-65.575,683.975,-65.715,735.23,0.0049999999999954525,735.51,0.2849999999999966,735.37,0.14499999999999602,0.2799999999999727,0.28000000000000114,BOTTOM,0.0049999999999954525
