ns_inf,nf_inf,nslow,nfast_hit,stop_phase_disc,phase0_snap,hit_idx,correction,within_std,train_count
0,0,20,6,0,1,0,-2190.050647820966,11.469364229758227,849
0,0,20,7,0,0,0,-2170.0942501481923,23.51843497711094,1687
0,0,20,8,0,0,0,-2188.20281124498,13.051836417325754,996
0,0,20,8,1,0,0,-2147.614010989011,9.845407885867866,728
0,0,20,9,1,0,0,-2200.443418013857,5.727625156529519,433
0,0,20,9,3,0,0,-2163.255700325733,15.87650093184207,1228
0,0,20,9,7,0,0,-2133.1610169491523,1.3837454640231008,118
0,0,20,10,7,0,0,-2170.8197101449277,22.802376304506605,1725
0,0,20,11,7,0,0,-2170.5114908662345,23.0645379017383,1697
0,0,20,12,7,1,0,-3050.541690626797,22.767213690377933,1739
0,0,21,2,7,1,0,-2171.4794520547944,22.72956531537479,1679
0,0,21,3,4,1,0,-2140.6079295154186,5.560680767905365,454
0,0,21,3,6,1,0,-2178.1636980491944,15.56848685968295,1179
0,0,21,4,0,1,0,-2153.0738461538463,12.915928670138225,975
0,0,21,4,4,1,0,-2192.8805194805195,10.093009525835756,770
0,0,21,5,0,1,0,-2170.852179034158,23.184870489901645,1698
0,0,21,6,0,0,0,-2150.42374854482,12.144922121116128,859
0,0,21,6,0,1,0,-2190.9238521836505,11.73373988456808,893
0,0,21,7,0,0,0,-2171.211123723042,22.98975073880762,1762
0,0,21,8,0,0,0,-2187.197790055249,12.87387158945179,905
0,0,21,8,1,0,0,-2147.75,10.263702287955553,756
0,0,21,9,1,0,0,-2200.434243176179,5.986545593954012,403
0,0,21,9,3,0,0,-2163.026733500418,15.405332337673416,1197
0,0,21,9,7,0,0,-2132.9238095238097,1.371097843525419,105
0,0,21,10,7,0,0,-2170.5743440233236,23.141714145839536,1715
0,0,21,11,7,0,0,-2169.883529411765,23.108706518416867,1700
0,0,21,12,7,1,0,-3050.89368355222,23.03267285596138,1599
0,0,22,2,7,1,0,-2170.363690832834,23.45387017450452,1669
0,0,22,3,4,1,0,-2141.1002331002333,5.554705679889899,429
0,0,22,3,6,1,0,-2177.670068027211,16.11259242605535,1176
0,0,22,3,7,1,0,-2208.109090909091,1.422836185482195,110
0,0,22,4,0,1,0,-2153.9173640167364,13.034572300592917,956
0,0,22,4,4,1,0,-2192.872549019608,10.248003287110892,714
0,0,22,5,0,1,0,-2171.123957091776,22.427026637372467,1678
0,0,22,6,0,0,0,-2150.2267441860463,11.429194812054286,860
0,0,22,6,0,1,0,-2190.2057142857143,11.911241817397807,875
0,0,22,7,0,0,0,-2170.4613970588234,23.118667230607933,1632
0,0,22,8,0,0,0,-2188.691304347826,12.765967428505347,920
0,0,22,8,1,0,0,-2148.388961892247,10.149141926238304,761
0,0,22,9,1,0,0,-2200.6697674418606,6.038848453459852,430
0,0,22,9,3,0,0,-2163.4865092748737,16.025230006203984,1186
0,0,22,9,7,0,0,-2132.908163265306,1.450451968180316,98
0,0,22,10,7,0,0,-2170.877840909091,23.36339327533086,1760
0,0,22,11,7,0,0,-2171.551181102362,23.279650146883718,1651
0,0,22,12,7,1,0,-3051.4429447852763,23.37940200162127,1630
0,0,23,2,7,1,0,-2170.16936416185,22.629350427067468,1730
