instance	master	placement_status	orientation	box
CTS_ccl_a_buf_00052	BUJIHDX12	placed	R180	{974.96 539.84 986.16 544.32}
CTS_ccl_a_buf_00053	BUJIHDX12	placed	R180	{1034.88 539.84 1046.08 544.32}
CTS_ccl_a_buf_00054	BUJIHDX12	placed	R180	{968.24 656.32 979.44 660.8}
CTS_ccl_a_buf_00055	BUJIHDX12	placed	R180	{1086.4 728.0 1097.6 732.48}
CTS_ccl_a_buf_00056	BUJIHDX12	placed	MY	{1086.4 616.0 1097.6 620.48}
CTS_ccl_a_buf_00057	BUJIHDX12	placed	R180	{801.36 719.04 812.56 723.52}
CTS_ccl_a_buf_00058	BUJIHDX12	placed	R180	{1086.96 781.76 1098.16 786.24}
CTS_ccl_a_buf_00059	BUJIHDX12	placed	R0	{811.44 768.32 822.64 772.8}
CTS_ccl_a_buf_00060	BUJIHDX12	placed	R180	{799.68 692.16 810.88 696.64}
CTS_ccl_a_buf_00061	BUJIHDX12	placed	R180	{1089.2 710.08 1100.4 714.56}
CTS_ccl_a_buf_00062	BUJIHDX12	placed	R180	{681.52 754.88 692.72 759.36}
CTS_ccl_a_buf_00063	BUJIHDX12	placed	MY	{1020.88 768.32 1032.08 772.8}
CTS_ccl_a_buf_00064	BUJIHDX12	placed	R180	{524.72 701.12 535.92 705.6}
CTS_ccl_a_buf_00065	BUJIHDX12	placed	R180	{544.32 584.64 555.52 589.12}
CTS_ccl_a_buf_00066	BUJIHDX12	placed	R0	{932.96 400.96 944.16 405.44}
CTS_ccl_a_buf_00067	BUJIHDX12	placed	R180	{805.84 745.92 817.04 750.4}
CTS_ccl_a_buf_00068	BUJIHDX12	placed	MX	{1086.96 745.92 1098.16 750.4}
FE_DBTC0_u_core_rst_sys_drain_n	INJIHDX4	placed	MY	{675.92 329.28 679.28 333.76}
FE_OCPC1039_u_core_fast_tag_col_4__1	INJIHDX6	placed	R0	{428.96 714.56 433.44 719.04}
FE_OCPC1490_u_core_pd_hit_level_57	BUJIHDX0	placed	MX	{316.96 450.24 319.2 454.72}
FE_OCPC455_u_core_pd_hit_level_5	BUJIHDX1	placed	R0	{583.52 203.84 585.76 208.32}
FE_OCPC549_u_core_n_1526	INJIHDX4	placed	MX	{300.16 199.36 303.52 203.84}
FE_OFC1000_u_core_fast_tag_col_7__2	INJIHDX3	placed	MX	{234.08 387.52 236.88 392.0}
FE_OFC1005_u_core_pd_hit_level_51	BUJIHDX1	placed	MX	{537.6 495.04 539.84 499.52}
FE_OFC1006_u_core_fast_tag_col_6__0	BUJIHDX2	placed	MX	{127.68 387.52 130.48 392.0}
FE_OFC1007_u_core_fast_tag_col_6__0	INJIHDX1	placed	R0	{126.56 392.0 128.24 396.48}
FE_OFC1008_u_core_fast_tag_col_7__1	INJIHDX3	placed	MX	{232.96 369.6 235.76 374.08}
FE_OFC100_u_core_n_63976	INJIHDX1	placed	R0	{817.04 535.36 818.72 539.84}
FE_OFC1012_u_core_fast_tag_col_7__4	INJIHDX3	placed	MX	{249.76 378.56 252.56 383.04}
FE_OFC1014_u_core_n_1538	INJIHDX4	placed	R0	{517.44 203.84 520.8 208.32}
FE_OFC1132_u_core_n_58082	INJIHDX1	placed	MX	{666.4 342.72 668.08 347.2}
FE_OFC1133_n_1672	INJIHDX1	placed	R0	{422.24 436.8 423.92 441.28}
